City,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Hartford,453.95,38.04,52.21,7.33,19.19,25.11,57
Waldorf,303.75,24.68,23.25,2.35,2.08,3.39,30
Apple Valley,293.73,7.71,48.64,1.0,2.35,3.34,41
Danbury,400.54,30.85,50.07,6.14,14.69,20.9,47
Jersey City,413.9,33.24,40.41,8.58,12.23,19.46,41
Metairie,330.45,16.11,27.18,2.62,6.05,8.12,23
Rio Rancho,201.94,1.32,32.19,0.08,2.93,15.17,27
Hemet,303.75,9.94,44.7,0.57,5.68,7.31,37
Cleveland,283.72,10.28,62.23,1.73,6.57,6.93,60
Thornton,507.36,28.1,8.67,0.78,10.79,15.4,35
Columbia,233.65,1.56,67.23,0.12,2.44,6.73,75
Enterprise,233.65,1.46,49.35,0.17,3.22,5.73,41
Macon,230.31,4.33,49.35,8.58,3.23,6.31,41
Ellicott City,337.12,20.39,54.36,3.61,7.46,13.26,46
Bk,540.73,48.67,26.82,14.66,18.01,26.85,60
Houston,594.14,35.99,22.71,5.6,19.48,24.07,58
Oceanside,357.15,11.48,6.26,0.37,8.54,11.92,27
Orange,236.99,2.91,72.96,0.35,0.5,0.68,93
Allen,377.18,30.16,22.71,4.47,13.68,16.51,44
German,208.62,1.5,75.1,4.29,3.26,3.6,100
Pittsburg,277.04,12.85,63.66,4.53,4.87,6.47,64
Berkeley,353.81,25.36,17.52,5.25,6.51,8.23,31
New Bedford,270.37,3.77,87.26,4.83,14.08,18.21,130
New Britain,155.21,0.03,9.21,6.62,9.27,10.55,30
Carlsbad,357.15,11.48,6.26,0.37,8.54,11.92,27
Alexandria,198.6,3.38,83.69,2.65,10.86,17.17,121
Overland Park,263.69,5.57,62.23,0.89,1.48,2.13,60
Melbourne,205.28,10.03,25.39,5.48,2.05,6.23,21
Sioux Falls,317.1,10.2,40.41,0.39,3.35,3.74,34
Huntsville,267.03,3.81,52.21,1.42,7.05,11.44,44
Turlock,373.84,8.82,0.2,0.46,5.68,8.2,18
Gainesville,226.97,1.86,65.8,0.35,1.97,3.87,71
Champaign,263.69,3.0,59.37,0.46,8.75,9.28,51
Inglewood,1148.22,64.43,1.88,7.75,40.18,57.19,99
Saint Joseph,233.65,7.2,72.96,2.21,1.27,3.87,93
Brockton,303.75,9.94,78.68,3.55,15.09,18.47,109
Tulsa,267.03,9.68,31.47,1.94,9.64,10.62,31
North Las Vegas,223.64,4.8,50.78,0.12,10.85,26.05,43
Escondido,317.1,12.51,14.48,0.34,5.0,6.93,16
Westminster,310.42,53.47,5.45,13.95,5.27,6.66,66
Lakewood,357.15,19.71,28.61,0.22,4.34,9.85,24
San Jose,627.52,52.09,0.22,2.09,13.98,18.78,65
Irvine,907.9,48.67,2.55,3.28,33.06,40.78,85
Bossier City,233.65,6.68,52.21,2.74,4.59,5.66,44
Kendall,220.3,4.16,75.1,1.04,3.42,8.71,100
Columbus,250.34,7.2,60.8,1.43,3.44,3.7,55
Clearwater,216.96,1.59,75.1,1.33,3.69,7.35,100
Syracuse,226.97,3.86,77.25,41.01,5.3,7.8,105
Palm Bay,210.29,1.31,87.98,0.26,1.76,3.8,132
Vacaville,280.38,7.63,47.92,0.12,4.4,4.93,40
Glen Burnie,377.18,24.68,46.49,5.07,9.0,15.15,39
Broomfield,380.52,19.54,24.32,0.25,6.23,10.73,24
Schenectady,350.48,13.37,50.78,1.74,15.99,18.33,51
Pittsburgh,277.04,12.85,63.66,4.53,4.87,6.47,64
Memphis,317.1,16.28,13.59,3.64,7.48,8.16,24
Berkeley,353.81,25.36,17.52,5.25,6.51,8.23,31
Bk,540.73,48.67,26.82,14.66,18.01,26.85,60
Appleton,240.33,1.18,69.38,0.16,0.5,0.62,82
Rialto,353.81,27.08,33.98,4.29,8.02,10.56,33
Green Bay,240.33,0.99,66.52,0.08,0.5,0.58,73
Upland,317.1,23.65,35.76,1.83,7.16,10.77,30
Virginia Beach,233.65,2.79,82.97,0.69,2.39,8.42,119
Springdale,236.99,5.14,37.55,0.74,5.19,7.13,31
Saint Paul,387.19,24.33,31.83,6.56,5.37,6.92,30
Nashua,330.45,17.48,72.24,6.68,15.24,18.04,91
Temple,270.37,4.33,55.79,1.59,22.48,23.58,64
Napa,253.68,5.74,15.91,0.02,3.66,4.51,13
Melbourne,205.28,10.03,25.39,5.48,2.05,6.23,21
Santa Ana,907.9,48.67,2.55,3.28,33.06,40.78,85
Orange,236.99,2.91,72.96,0.35,0.5,0.68,93
Huntington Beach,907.9,48.67,2.55,3.28,33.06,40.78,85
Brentwood,480.65,23.31,0.6,0.54,11.94,13.41,38
Rochester,240.33,4.71,80.11,1.8,4.63,5.22,112
New Rochelle,627.52,61.01,22.35,18.36,25.29,36.0,76
Overland Park,263.69,5.57,62.23,0.89,1.48,2.13,60
Spokane,427.25,15.08,15.91,0.55,9.38,10.18,30
Beaumont,270.37,21.76,12.7,3.67,22.8,24.47,64
Canton,233.65,2.42,52.21,1.52,6.29,6.9,44
Columbia,257.02,4.16,67.95,0.69,3.16,7.52,77
Richmond,333.79,16.62,31.11,0.86,5.97,10.21,26
Charlotte,283.72,7.54,42.92,2.56,6.6,12.46,36
Santa Monica,540.73,28.45,3.67,1.51,18.94,26.42,57
Bloomington,247.0,4.54,56.51,1.61,6.98,7.52,47
Durham,273.71,7.54,60.08,0.98,4.51,9.23,53
Broomfield,380.52,19.54,24.32,0.25,6.23,10.73,24
Indio,380.52,16.79,54.36,0.49,7.02,15.06,46
Cleveland,283.72,10.28,62.23,1.73,6.57,6.93,60
Houston,594.14,35.99,22.71,5.6,19.48,24.07,58
Rock Hill,290.39,9.85,44.7,2.21,6.03,11.58,37
Newark,413.9,33.24,40.41,8.58,12.23,19.46,41
Birmingham,243.66,20.56,52.21,5.66,1.4,2.05,44
Ames,243.66,9.68,52.21,0.97,1.81,3.96,44
Newark,413.9,33.24,40.41,8.58,12.23,19.46,41
Santa Clara,627.52,52.09,0.22,2.09,13.98,18.78,65
New Orleans,330.45,16.11,27.18,2.62,6.05,8.12,23
Warwick,230.31,12.68,56.51,2.95,0.97,1.58,47
Spring Hill,253.68,3.0,60.08,0.31,0.79,1.3,53
Oceanside,357.15,11.48,6.26,0.37,8.54,11.92,27
Tallahassee,230.31,1.21,52.21,0.15,2.25,5.22,44
Lynchburg,263.69,3.86,69.38,1.37,5.64,11.08,82
Westminster,310.42,53.47,5.45,13.95,5.27,6.66,66
Paradise,560.76,39.07,5.36,2.98,24.07,42.06,67
Lynwood,1148.22,64.43,1.88,7.75,40.18,57.19,99
Camarillo,230.31,4.28,49.35,0.22,2.16,3.23,41
Lakewood,357.15,19.71,28.61,0.22,4.34,9.85,24
Lake Forest,243.66,3.0,69.38,0.29,0.5,1.04,82
Naperville,263.69,5.57,62.94,1.13,1.52,2.37,62
Boise,357.15,15.08,31.11,0.17,10.18,15.97,33
Metairie,330.45,16.11,27.18,2.62,6.05,8.12,23
Stockton,373.84,8.82,0.15,0.31,6.46,7.59,20
Lawrence,247.0,2.38,66.52,2.59,1.44,1.75,73
Lawrence,247.0,2.38,66.52,2.59,1.44,1.75,73
Newark,413.9,33.24,40.41,8.58,12.23,19.46,41
Peoria,243.66,2.01,65.09,0.19,1.13,1.43,69
O'Fallon,257.02,3.38,55.79,0.77,8.39,9.33,47
Hampton,303.75,12.34,62.23,1.12,4.38,10.01,60
Lakewood,357.15,19.71,28.61,0.22,4.34,9.85,24
Mesa,540.73,27.76,10.91,1.49,13.01,18.84,42
Bryan,240.33,2.38,55.08,0.4,6.65,7.19,46
Garland,387.19,31.19,21.64,5.01,13.77,17.04,44
Springfield,270.37,3.26,52.93,4.23,6.65,8.48,44
Flint,273.71,5.44,58.65,0.47,5.66,5.9,49
Tacoma,620.84,40.78,0.14,1.09,15.91,21.49,51
Waterbury,393.87,32.56,56.51,6.26,14.91,20.65,48
Eagan,387.19,24.33,31.83,6.56,5.37,6.92,30
Fort Smith,397.21,21.42,3.67,1.07,11.25,14.13,36
Carmichael,267.03,1.31,46.49,2.24,11.73,26.85,39
Daly City,447.27,45.24,5.45,5.96,12.12,14.35,56
Bryan,240.33,2.38,55.08,0.4,6.65,7.19,46
Murrieta,317.1,8.65,36.84,0.52,9.16,11.98,31
Brentwood,480.65,23.31,0.6,0.54,11.94,13.41,38
Quincy,317.1,11.48,74.39,4.05,15.56,18.68,98
Boulder,195.27,1.37,62.23,0.21,1.16,2.7,60
Waterbury,393.87,32.56,56.51,6.26,14.91,20.65,48
Evanston,257.02,7.54,65.8,3.87,1.0,1.86,71
Dothan,230.31,1.13,57.22,0.29,3.02,5.43,48
Antioch,267.03,7.63,50.07,1.13,6.42,7.65,42
Madison,240.33,2.27,63.66,1.57,0.5,0.85,64
Victorville,367.17,16.28,29.33,0.47,8.65,21.38,28
Billings,263.69,5.66,52.21,0.22,5.72,12.0,44
Sandy Springs,303.75,11.14,49.35,1.91,5.43,10.55,41
Iowa City,250.34,2.96,60.8,0.56,0.58,0.83,55
Largo,240.33,3.94,76.53,1.51,3.54,5.98,103
Shreveport,233.65,6.68,52.21,2.74,4.59,5.66,44
Kalamazoo,267.03,4.03,57.94,0.23,4.82,5.17,49
Round Rock,250.34,3.38,55.79,0.63,19.69,20.87,58
Richmond,333.79,16.62,31.11,0.86,5.97,10.21,26
Columbia,233.65,1.56,67.23,0.12,2.44,6.73,75
Sandy,640.87,45.24,7.33,3.43,22.37,27.84,63
Hoover,280.38,8.4,40.41,1.83,7.16,13.39,34
Fullerton,594.14,33.93,3.71,2.62,17.04,22.87,53
Dothan,230.31,1.13,57.22,0.29,3.02,5.43,48
Rapid City,210.29,1.44,82.97,0.45,2.6,6.9,119
Newport Beach,907.9,48.67,2.55,3.28,33.06,40.78,85
Columbus,243.66,5.06,63.66,1.33,3.3,3.6,64
Palm Coast,213.62,1.06,89.41,0.22,1.59,3.31,136
Albany,413.9,18.17,47.92,6.91,22.42,25.69,64
Jurupa Valley,594.14,30.5,1.95,1.67,19.05,25.86,57
Providence,270.37,4.37,82.97,2.89,12.61,15.41,119
Decatur,267.03,3.38,57.94,0.83,8.9,9.94,49
Scranton,303.75,7.71,65.09,2.86,9.24,13.34,69
Anaheim,594.14,33.93,3.71,2.62,17.04,22.87,53
Rochester,240.33,4.71,80.11,1.8,4.63,5.22,112
Buffalo,243.66,5.66,77.25,1.49,4.96,5.18,105
Richmond,333.79,16.62,31.11,0.86,5.97,10.21,26
Santa Ana,907.9,48.67,2.55,3.28,33.06,40.78,85
Sunnyvale,473.98,40.1,0.81,1.51,10.24,13.44,50
Milwaukee,247.0,3.0,67.23,0.31,0.5,1.06,75
Conroe,250.34,2.16,52.93,0.47,10.38,11.45,44
Savannah,226.97,5.66,60.8,2.5,2.57,4.99,55
German,208.62,1.5,75.1,4.29,3.26,3.6,100
Costa Mesa,907.9,48.67,2.55,3.28,33.06,40.78,85
New Haven,433.92,36.33,48.64,8.23,17.66,25.22,54
Westland,257.02,4.97,62.94,0.58,5.16,5.41,62
Waldorf,303.75,24.68,23.25,2.35,2.08,3.39,30
Cedar Rapids,250.34,2.44,60.8,0.35,0.59,0.83,55
Troy,413.9,18.17,47.92,6.91,22.42,25.69,64
Kirkland,620.84,30.16,0.05,2.18,17.23,25.29,53
Santa Barbara,226.97,3.0,60.08,1.18,3.14,3.95,53
Lake Forest,243.66,3.0,69.38,0.29,0.5,1.04,82
Chino,317.1,23.65,35.76,1.83,7.16,10.77,30
Tucson,427.25,16.62,28.61,1.01,12.23,27.21,39
Boise,357.15,15.08,31.11,0.17,10.18,15.97,33
Joliet,273.71,6.0,58.65,1.31,2.11,3.14,49
Metairie,330.45,16.11,27.18,2.62,6.05,8.12,23
Moreno Valley,554.09,31.53,3.35,1.33,15.77,19.84,50
Elizabeth,330.45,19.71,55.79,4.41,9.44,14.96,47
Wyoming,247.0,1.63,65.09,0.12,0.84,0.97,69
Norman,330.45,13.88,33.26,1.34,9.57,10.55,31
Frisco,363.83,27.76,26.46,2.92,14.67,17.4,47
Waterloo,247.0,3.51,62.23,1.36,0.89,1.15,60
Oakland,353.81,25.36,17.52,5.25,6.51,8.23,31
Jonesboro,233.65,1.93,54.36,0.14,4.31,4.89,46
Springfield,270.37,3.26,52.93,4.23,6.65,8.48,44
Mission,387.19,10.97,50.07,4.77,20.33,23.52,59
Midland,257.02,2.59,50.07,0.13,9.14,21.17,42
Lansing,263.69,4.2,60.8,0.27,5.45,5.6,55
Springdale,236.99,5.14,37.55,0.74,5.19,7.13,31
Bay,223.64,2.87,59.37,0.14,0.5,0.67,51
Apple Valley,293.73,7.71,48.64,1.0,2.35,3.34,41
Brockton,303.75,9.94,78.68,3.55,15.09,18.47,109
Poinciana,223.64,3.38,77.25,0.57,2.48,3.94,105
Davis,290.39,6.86,34.33,0.16,4.63,5.1,29
Springfield,270.37,3.26,52.93,4.23,6.65,8.48,44
Decatur,267.03,3.38,57.94,0.83,8.9,9.94,49
Saint Louis,250.34,4.16,55.79,0.9,7.14,7.88,47
Lehigh Acres,208.62,1.16,82.97,0.28,2.79,8.1,119
Henderson,413.9,40.1,17.35,2.41,21.35,38.64,61
Framingham,297.07,9.34,77.25,4.17,13.36,15.82,105
Waco,283.72,5.44,51.5,1.71,20.18,21.34,59
Fort Worth,303.75,9.34,45.78,0.97,17.47,19.32,54
Bellingham,487.33,27.76,1.1,1.36,6.95,8.51,34
Maple Grove,277.04,4.93,47.21,1.39,2.24,2.79,40
Spokane,427.25,15.08,15.91,0.55,9.38,10.18,30
Torrance,1148.22,64.43,1.88,7.75,40.18,57.19,99
Scottsdale,540.73,27.76,10.91,1.49,13.01,18.84,42
San Diego,640.87,33.59,3.8,2.27,13.43,19.93,43
Centreville,247.0,3.17,67.95,2.0,5.36,9.69,77
Ellicott City,337.12,20.39,54.36,3.61,7.46,13.26,46
Maple Grove,277.04,4.93,47.21,1.39,2.24,2.79,40
Providence,270.37,4.37,82.97,2.89,12.61,15.41,119
Phoenix,720.98,34.27,6.53,1.82,17.42,26.3,54
Independence,253.68,4.28,62.94,1.22,1.19,1.63,62
McKinney,377.18,30.16,22.71,4.47,13.68,16.51,44
Cranston,263.69,3.34,85.12,2.98,12.18,15.74,125
Peoria,243.66,2.01,65.09,0.19,1.13,1.43,69
Fontana,380.52,35.64,28.61,3.87,12.86,16.99,44
Nashua,330.45,17.48,72.24,6.68,15.24,18.04,91
Rapid City,210.29,1.44,82.97,0.45,2.6,6.9,119
Indianapolis,267.03,9.94,50.78,2.24,6.45,7.12,43
Fall River,283.72,4.63,79.39,2.98,14.93,19.41,110
Providence,270.37,4.37,82.97,2.89,12.61,15.41,119
Yuba City,287.06,6.26,9.84,0.11,4.26,4.92,13
Tuscaloosa,250.34,4.07,44.35,0.88,5.2,9.28,37
Pearland,460.63,22.96,32.9,2.68,14.32,18.61,46
Palatine,243.66,2.51,69.38,0.45,0.61,1.17,82
San Angelo,243.66,1.44,47.21,0.11,10.02,26.18,40
Boise,357.15,15.08,31.11,0.17,10.18,15.97,33
Murfreesboro,257.02,3.47,58.65,0.75,5.61,7.39,49
Napa,253.68,5.74,15.91,0.02,3.66,4.51,13
Bk,540.73,48.67,26.82,14.66,18.01,26.85,60
Jacksonville,223.64,2.23,77.96,0.51,1.89,3.88,107
Olathe,250.34,3.3,65.09,0.47,1.28,1.83,69
Redlands,290.39,14.91,41.84,0.46,3.7,6.47,35
Franklin,250.34,4.54,51.5,1.01,6.85,8.34,43
Norwalk,487.33,44.55,41.84,10.97,19.58,27.63,58
Nampa,514.03,27.42,3.84,0.36,22.5,34.37,64
Hialeah,210.29,1.86,79.39,0.4,3.12,7.89,110
San Clemente,213.62,0.76,68.67,0.05,3.89,4.23,80
Wichita,257.02,2.74,63.66,0.76,3.4,4.91,64
Redwood City,487.33,37.36,0.18,1.77,11.33,16.68,46
Gilbert,494.0,25.02,11.62,0.95,8.83,15.36,31
Cheektowaga,260.35,9.68,70.81,2.62,5.62,5.99,86
Santa Clara,627.52,52.09,0.22,2.09,13.98,18.78,65
Plano,377.18,30.16,22.71,4.47,13.68,16.51,44
Davis,290.39,6.86,34.33,0.16,4.63,5.1,29
Merced,260.35,8.48,5.23,0.04,1.69,2.93,10
Oshkosh,240.33,1.46,68.67,0.33,0.5,0.67,80
Salem,403.88,19.71,0.33,0.29,17.17,19.09,53
Arden-Arcade,574.11,23.31,0.32,1.06,11.81,16.82,38
Pasadena,387.19,33.59,11.98,1.62,7.61,16.66,41
Livonia,267.03,7.63,62.94,1.03,5.27,5.81,62
Lowell,343.8,16.97,66.52,5.78,16.73,19.3,73
Madison,240.33,2.27,63.66,1.57,0.5,0.85,64
Glen Burnie,377.18,24.68,46.49,5.07,9.0,15.15,39
Hesperia,367.17,16.28,29.33,0.47,8.65,21.38,28
Ogden,233.65,12.0,44.35,0.03,3.1,7.54,37
Clifton,363.83,25.02,49.35,5.31,11.17,17.83,41
Plymouth,223.64,5.83,70.81,1.85,0.84,2.59,86
Hemet,303.75,9.94,44.7,0.57,5.68,7.31,37
Whittier,947.95,44.55,1.65,4.95,26.92,37.83,73
Toms River,250.34,3.38,88.69,0.81,3.12,5.88,134
Charlotte,283.72,7.54,42.92,2.56,6.6,12.46,36
Dale City,270.37,5.57,57.94,1.16,5.44,10.54,49
Casas Adobes,427.25,16.62,28.61,1.01,12.23,27.21,39
Phoenix,720.98,34.27,6.53,1.82,17.42,26.3,54
Fort Collins,267.03,7.97,36.48,0.18,1.98,3.06,30
Moreno Valley,554.09,31.53,3.35,1.33,15.77,19.84,50
Yorba Linda,594.14,33.93,3.71,2.62,17.04,22.87,53
Redwood City,487.33,37.36,0.18,1.77,11.33,16.68,46
Hayward,547.41,30.5,0.07,1.37,14.62,20.34,47
San Mateo,487.33,37.36,0.18,1.77,11.33,16.68,46
Murfreesboro,257.02,3.47,58.65,0.75,5.61,7.39,49
Woodbury,383.85,23.99,32.19,6.91,5.36,6.91,29
Conroe,250.34,2.16,52.93,0.47,10.38,11.45,44
Dearborn,287.06,13.37,57.94,2.18,5.84,6.74,49
Ann Arbor,257.02,4.93,60.8,0.63,5.34,5.55,55
Cincinnati,260.35,11.31,54.36,7.57,5.48,5.95,46
Bayamón,185.25,0.24,47.92,0.25,1.0,2.43,40
East Los Angeles,387.19,33.59,11.98,1.62,7.61,16.66,41
South Bend,253.68,2.59,58.65,0.3,1.27,1.4,49
Hammond,307.08,18.51,47.21,7.75,3.33,5.61,40
Carson,1148.22,64.43,1.88,7.75,40.18,57.19,99
Davis,290.39,6.86,34.33,0.16,4.63,5.1,29
Port Saint Lucie,216.96,1.59,91.55,0.37,2.83,6.15,141
Bossier City,233.65,6.68,52.21,2.74,4.59,5.66,44
Salinas,250.34,5.36,57.22,0.25,2.1,2.87,48
Asheville,247.0,5.06,71.53,4.77,4.71,8.14,89
Washington,323.77,15.42,52.93,3.07,6.66,12.38,44
Yuba City,287.06,6.26,9.84,0.11,4.26,4.92,13
Temple,270.37,4.33,55.79,1.59,22.48,23.58,64
Hampton,303.75,12.34,62.23,1.12,4.38,10.01,60
Napa,253.68,5.74,15.91,0.02,3.66,4.51,13
New York,413.9,33.24,40.41,8.58,12.23,19.46,41
Overland Park,263.69,5.57,62.23,0.89,1.48,2.13,60
Baldwin Park,320.44,25.02,30.76,0.98,5.8,11.16,31
Union City,417.23,45.24,5.68,2.44,11.22,15.18,56
Lakeland,211.95,1.35,76.53,0.66,2.48,4.1,103
Eau Claire,243.66,1.32,58.65,0.03,0.5,0.58,49
Laguna Niguel,567.44,26.05,3.58,1.12,15.24,23.39,49
Kennewick,400.54,21.25,12.7,0.29,14.08,15.22,45
Sterling Heights,280.38,9.94,59.37,1.18,5.79,6.42,51
Joliet,273.71,6.0,58.65,1.31,2.11,3.14,49
Garland,387.19,31.19,21.64,5.01,13.77,17.04,44
College Station,240.33,2.19,56.51,0.73,7.16,7.65,47
Canton,233.65,2.42,52.21,1.52,6.29,6.9,44
Peoria,243.66,2.01,65.09,0.19,1.13,1.43,69
Rockford,240.33,2.36,65.8,1.07,0.5,0.88,71
Bk,540.73,48.67,26.82,14.66,18.01,26.85,60
Somerville,317.1,11.48,74.39,4.05,15.56,18.68,98
Denton,307.08,11.31,39.34,1.21,13.95,15.72,45
Miami Beach,257.02,9.68,80.82,2.65,3.95,9.33,114
Modesto,273.71,8.82,2.62,0.13,2.27,5.33,11
Southfield,267.03,6.6,61.51,0.78,5.48,5.88,57
Portland,487.33,22.62,0.09,2.09,10.13,13.45,32
Westminster,310.42,53.47,5.45,13.95,5.27,6.66,66
North Little Rock,236.99,3.77,49.35,0.8,5.74,6.62,41
Yonkers,473.98,42.84,33.98,10.01,15.85,24.06,53
Atlanta,343.8,18.17,41.13,4.17,6.46,12.4,34
Toms River,250.34,3.38,88.69,0.81,3.12,5.88,134
Sunnyvale,473.98,40.1,0.81,1.51,10.24,13.44,50
Cambridge,226.97,8.14,52.21,0.9,1.09,1.84,44
Spring Valley,403.88,19.36,37.55,2.03,12.0,14.97,38
Wilmington,303.75,8.48,63.66,2.53,6.65,10.93,64
Edinburg,253.68,26.73,25.03,6.38,5.8,6.22,33
Fargo,280.38,6.17,43.63,1.89,3.21,3.49,36
Glendale,600.82,47.3,3.93,3.4,17.58,33.98,59
Abilene,240.33,1.82,50.78,0.16,5.04,10.81,43
Richmond,333.79,16.62,31.11,0.86,5.97,10.21,26
Bismarck,247.0,3.04,65.8,0.72,1.17,2.76,71
Lawton,243.66,2.16,45.78,0.13,11.81,12.38,38
Rockford,240.33,2.36,65.8,1.07,0.5,0.88,71
Poinciana,223.64,3.38,77.25,0.57,2.48,3.94,105
Fremont,447.27,33.59,0.48,1.15,9.51,13.9,41
Redding,273.71,11.82,21.99,0.09,2.05,2.43,18
Frisco,363.83,27.76,26.46,2.92,14.67,17.4,47
Johnson City,263.69,4.54,60.08,0.48,5.12,9.41,53
Arden-Arcade,574.11,23.31,0.32,1.06,11.81,16.82,38
San Tan Valley,287.06,8.4,26.11,0.05,3.87,10.69,22
Provo,453.95,25.02,11.0,1.19,12.8,17.1,41
Deerfield Beach,216.96,4.71,85.12,0.84,3.09,7.82,125
Newport Beach,907.9,48.67,2.55,3.28,33.06,40.78,85
Alexandria,198.6,3.38,83.69,2.65,10.86,17.17,121
Portland,487.33,22.62,0.09,2.09,10.13,13.45,32
East Los Angeles,387.19,33.59,11.98,1.62,7.61,16.66,41
Warren,280.38,9.94,59.37,1.18,5.79,6.42,51
Fresno,413.9,16.45,0.84,0.81,6.04,8.77,20
Auburn,230.31,2.57,47.92,1.39,5.06,7.75,40
Kissimmee,220.3,3.21,77.96,0.59,2.1,3.29,107
Grand Prairie,323.77,14.57,40.41,2.12,17.13,19.57,53
Chattanooga,240.33,3.51,63.66,1.01,3.8,7.25,64
Conroe,250.34,2.16,52.93,0.47,10.38,11.45,44
Ontario,317.1,23.65,35.76,1.83,7.16,10.77,30
Newton,293.73,7.45,77.25,3.4,14.33,16.86,105
Frederick,253.68,3.98,65.8,2.0,6.18,9.63,71
Visalia,297.07,15.94,12.88,0.19,3.19,4.9,19
Clarksville,250.34,6.08,53.64,5.25,6.55,7.37,45
Kennewick,400.54,21.25,12.7,0.29,14.08,15.22,45
Pasadena,387.19,33.59,11.98,1.62,7.61,16.66,41
Saint George,263.69,0.68,40.05,0.86,3.07,7.54,33
Rockford,240.33,2.36,65.8,1.07,0.5,0.88,71
Davie,203.61,0.85,81.54,0.21,2.82,7.08,116
Clearwater,216.96,1.59,75.1,1.33,3.69,7.35,100
Port Saint Lucie,216.96,1.59,91.55,0.37,2.83,6.15,141
